crop,season,district,year,selling_price_range,selling_location,industry_name
lentil,rabi,khammam,2020,2560–3268 ₹/quintal,industry buyer,telangana agri exports
coriander,rabi,rajanna sircilla,2022,2757–3717 ₹/quintal,industry buyer,telangana agri exports
gram,rabi,warangal rural,2024,3297–4736 ₹/quintal,nearest mandi,mandi connect ltd
banana,kharif,medak,2024,2581–2933 ₹/quintal,nearest mandi,deccan agri trading
plum,rabi,siddipet,2023,3029–3429 ₹/quintal,industry buyer,agro industries ltd
sugarcane,kharif,peddapalli,2021,3412–4096 ₹/quintal,nearest mandi,deccan agri trading
cucumber,zaid,nizamabad,2024,3189–3619 ₹/quintal,nearest mandi,krishi produce ltd
rubber,kharif,khammam,2020,3206–4378 ₹/quintal,local market,rural farmers hub
sesame,kharif,siddipet,2024,3166–3493 ₹/quintal,industry buyer,bharat agro mills
jowar,rabi,jayashankar bhupalpally,2024,3281–4584 ₹/quintal,industry buyer,telangana agri exports
sapota,rabi,mahabubabad,2022,3382–4143 ₹/quintal,nearest mandi,deccan agri trading
cucumber,zaid,yadadri bhuvanagiri,2023,3243–4282 ₹/quintal,industry buyer,bharat agro mills
tea,kharif,nalgonda,2024,4562–5153 ₹/quintal,local market,green harvest corp
lychee,kharif,jayashankar bhupalpally,2020,3017–3672 ₹/quintal,industry buyer,green harvest corp
millets,kharif,kumuram bheem asifabad,2020,4746–6141 ₹/quintal,industry buyer,deccan agri trading
pomegranate,kharif,karimnagar,2022,3507–3858 ₹/quintal,local market,deccan agri trading
ragi,kharif,mancherial,2020,2471–3679 ₹/quintal,local market,mandi connect ltd
coriander,rabi,adilabad,2024,3564–4509 ₹/quintal,industry buyer,green harvest corp
guava,rabi,mulugu,2024,3812–4962 ₹/quintal,industry buyer,bharat agro mills
mango,kharif,karimnagar,2020,4406–4793 ₹/quintal,local market,green harvest corp
rice,rabi,jayashankar bhupalpally,2022,2220–2638 ₹/quintal,local market,agro industries ltd
coriander,rabi,jangaon,2023,3393–4154 ₹/quintal,local market,green harvest corp
saffron,rabi,kamareddy,2021,4020–4422 ₹/quintal,nearest mandi,agro industries ltd
orange,kharif,jagtial,2023,4313–5781 ₹/quintal,local market,mandi connect ltd
guava,rabi,nagarkurnool,2024,2715–4207 ₹/quintal,industry buyer,krishi produce ltd
jute,kharif,hyderabad,2024,3461–4439 ₹/quintal,industry buyer,green harvest corp
banana,kharif,siddipet,2024,3226–4307 ₹/quintal,industry buyer,rural farmers hub
jute,kharif,nizamabad,2020,3001–3984 ₹/quintal,nearest mandi,bharat agro mills
urad,kharif,jangaon,2022,3198–3406 ₹/quintal,local market,krishi produce ltd
orange,kharif,vikarabad,2024,3384–4357 ₹/quintal,nearest mandi,krishi produce ltd
onion,kharif,suryapet,2023,1554–2806 ₹/quintal,nearest mandi,green harvest corp
garlic,rabi,rajanna sircilla,2022,4603–5338 ₹/quintal,nearest mandi,green harvest corp
sesame,kharif,jogulamba gadwal,2022,3171–4451 ₹/quintal,industry buyer,telangana agri exports
potato,rabi,khammam,2021,854–1858 ₹/quintal,industry buyer,telangana agri exports
onion,zaid,warangal urban,2021,1857–2701 ₹/quintal,local market,bharat agro mills
cumin,rabi,mahabubnagar,2020,3359–4175 ₹/quintal,local market,mandi connect ltd
sapota,rabi,jayashankar bhupalpally,2024,3510–4299 ₹/quintal,nearest mandi,green harvest corp
chilli,rabi,jogulamba gadwal,2021,6616–6818 ₹/quintal,local market,mandi connect ltd
peach,rabi,suryapet,2020,3311–4688 ₹/quintal,industry buyer,bharat agro mills
millets,kharif,peddapalli,2020,2737–4084 ₹/quintal,nearest mandi,deccan agri trading
wheat,rabi,nirmal,2024,2024–2565 ₹/quintal,nearest mandi,green harvest corp
grapes,rabi,kumuram bheem asifabad,2023,3040–3773 ₹/quintal,nearest mandi,mandi connect ltd
muskmelon,zaid,jogulamba gadwal,2021,2862–3506 ₹/quintal,nearest mandi,bharat agro mills
spices,zaid,mahabubnagar,2022,3396–4536 ₹/quintal,industry buyer,rural farmers hub
muskmelon,zaid,mahabubnagar,2022,3141–4377 ₹/quintal,industry buyer,rural farmers hub
lychee,kharif,rajanna sircilla,2022,3462–4299 ₹/quintal,nearest mandi,rural farmers hub
lemon,kharif,warangal rural,2023,2917–3494 ₹/quintal,industry buyer,krishi produce ltd
orange,kharif,rangareddy,2020,3266–3512 ₹/quintal,industry buyer,agro industries ltd
moong,kharif,jogulamba gadwal,2023,4568–5898 ₹/quintal,industry buyer,agro industries ltd
bottle gourd,kharif,suryapet,2020,2740–3943 ₹/quintal,local market,bharat agro mills
cauliflower,rabi,jayashankar bhupalpally,2022,4419–5555 ₹/quintal,local market,mandi connect ltd
cotton,kharif,vikarabad,2021,6803–8103 ₹/quintal,industry buyer,bharat agro mills
spices,zaid,warangal urban,2020,4496–5237 ₹/quintal,nearest mandi,krishi produce ltd
cabbage,rabi,warangal rural,2022,2539–3104 ₹/quintal,nearest mandi,rural farmers hub
pomegranate,kharif,warangal rural,2024,3598–4015 ₹/quintal,nearest mandi,deccan agri trading
watermelon,zaid,warangal rural,2022,2973–3867 ₹/quintal,industry buyer,agro industries ltd
plum,rabi,wanaparthy,2021,3697–5138 ₹/quintal,industry buyer,agro industries ltd
watermelon,zaid,nizamabad,2021,2876–3472 ₹/quintal,nearest mandi,krishi produce ltd
lychee,kharif,rangareddy,2023,3803–5156 ₹/quintal,nearest mandi,mandi connect ltd
sapota,kharif,rajanna sircilla,2021,3193–4655 ₹/quintal,local market,green harvest corp
pumpkin,kharif,nizamabad,2024,4572–5389 ₹/quintal,nearest mandi,green harvest corp
cucumber,zaid,wanaparthy,2023,3707–4777 ₹/quintal,industry buyer,rural farmers hub
ragi,kharif,nagarkurnool,2024,4356–4948 ₹/quintal,nearest mandi,telangana agri exports
sesame,kharif,jogulamba gadwal,2020,2827–3780 ₹/quintal,local market,deccan agri trading
sesame,kharif,kamareddy,2021,2700–3960 ₹/quintal,industry buyer,mandi connect ltd
apple,rabi,jagtial,2020,2847–3833 ₹/quintal,nearest mandi,telangana agri exports
muskmelon,zaid,mahabubabad,2020,4058–5300 ₹/quintal,local market,krishi produce ltd
sunflower,zaid,kumuram bheem asifabad,2022,1924–2916 ₹/quintal,local market,green harvest corp
rubber,kharif,hyderabad,2022,3409–3766 ₹/quintal,local market,deccan agri trading
hemp,kharif,adilabad,2024,3834–4124 ₹/quintal,industry buyer,agro industries ltd
groundnut,kharif,mulugu,2022,4891–5956 ₹/quintal,nearest mandi,mandi connect ltd
beetroot,rabi,nizamabad,2022,2923–3209 ₹/quintal,nearest mandi,krishi produce ltd
arhar,kharif,jangaon,2024,2862–3430 ₹/quintal,nearest mandi,telangana agri exports
potato,rabi,bhadradri kothagudem,2021,1131–1455 ₹/quintal,industry buyer,bharat agro mills
pulses,rabi,yadadri bhuvanagiri,2021,4215–5281 ₹/quintal,nearest mandi,agro industries ltd
banana,rabi,nagarkurnool,2022,4284–4787 ₹/quintal,industry buyer,rural farmers hub
gram,rabi,nagarkurnool,2021,2574–3044 ₹/quintal,local market,telangana agri exports
cabbage,rabi,khammam,2024,3678–4040 ₹/quintal,nearest mandi,bharat agro mills
bajra,kharif,nirmal,2020,2469–3209 ₹/quintal,nearest mandi,deccan agri trading
mustard,rabi,khammam,2020,2905–3212 ₹/quintal,local market,mandi connect ltd
hemp,kharif,adilabad,2021,2159–3096 ₹/quintal,industry buyer,rural farmers hub
peach,rabi,kamareddy,2020,3661–4427 ₹/quintal,nearest mandi,deccan agri trading
rubber,kharif,kamareddy,2023,3404–3670 ₹/quintal,nearest mandi,krishi produce ltd
turmeric,kharif,siddipet,2022,7472–7758 ₹/quintal,local market,green harvest corp
coriander,rabi,nirmal,2021,3939–4732 ₹/quintal,nearest mandi,telangana agri exports
lemon,kharif,wanaparthy,2024,2852–3110 ₹/quintal,industry buyer,telangana agri exports
tea,kharif,warangal rural,2021,2733–4070 ₹/quintal,industry buyer,green harvest corp
onion,kharif,medchal–malkajgiri,2021,1076–2129 ₹/quintal,industry buyer,deccan agri trading
bottle gourd,kharif,kamareddy,2021,3339–3639 ₹/quintal,local market,telangana agri exports
rubber,kharif,jogulamba gadwal,2024,3362–4391 ₹/quintal,industry buyer,agro industries ltd
bottle gourd,kharif,mahabubnagar,2021,3996–5375 ₹/quintal,nearest mandi,rural farmers hub
spices,rabi,jagtial,2024,2647–2983 ₹/quintal,nearest mandi,agro industries ltd
apple,rabi,mahabubnagar,2023,3729–4206 ₹/quintal,local market,deccan agri trading
moong,kharif,jayashankar bhupalpally,2021,3550–5011 ₹/quintal,nearest mandi,krishi produce ltd
potato,rabi,wanaparthy,2022,934–1708 ₹/quintal,nearest mandi,green harvest corp
rice,kharif,warangal rural,2021,1902–2730 ₹/quintal,industry buyer,green harvest corp
chilli,kharif,bhadradri kothagudem,2021,6459–7246 ₹/quintal,industry buyer,agro industries ltd
orange,kharif,sangareddy,2020,3727–4117 ₹/quintal,industry buyer,telangana agri exports
rubber,kharif,hyderabad,2023,4478–4953 ₹/quintal,nearest mandi,deccan agri trading
onion,kharif,wanaparthy,2021,1341–2686 ₹/quintal,nearest mandi,telangana agri exports
apple,rabi,suryapet,2020,2388–3283 ₹/quintal,industry buyer,agro industries ltd
cotton,kharif,mahabubabad,2020,5587–5892 ₹/quintal,industry buyer,bharat agro mills
papaya,rabi,suryapet,2024,2865–3368 ₹/quintal,local market,deccan agri trading
brinjal,rabi,vikarabad,2023,2267–3377 ₹/quintal,local market,rural farmers hub
moong,kharif,peddapalli,2020,3710–4232 ₹/quintal,nearest mandi,krishi produce ltd
sesame,kharif,suryapet,2022,2618–3899 ₹/quintal,nearest mandi,deccan agri trading
groundnut,kharif,jangaon,2021,4329–5581 ₹/quintal,nearest mandi,rural farmers hub
pulses,kharif,rajanna sircilla,2024,3005–3369 ₹/quintal,industry buyer,agro industries ltd
coriander,rabi,peddapalli,2020,3192–4603 ₹/quintal,local market,rural farmers hub
clove,kharif,medak,2023,2903–3119 ₹/quintal,industry buyer,agro industries ltd
arhar,kharif,jogulamba gadwal,2021,5053–6332 ₹/quintal,nearest mandi,green harvest corp
jute,kharif,nirmal,2020,4780–5352 ₹/quintal,industry buyer,deccan agri trading
tea,kharif,vikarabad,2020,2915–4132 ₹/quintal,industry buyer,mandi connect ltd
plum,rabi,jangaon,2023,4116–5227 ₹/quintal,nearest mandi,mandi connect ltd
mango,kharif,rangareddy,2023,3715–4560 ₹/quintal,nearest mandi,rural farmers hub
urad,kharif,rangareddy,2021,3180–3785 ₹/quintal,industry buyer,deccan agri trading
cotton,kharif,warangal urban,2023,6049–6554 ₹/quintal,industry buyer,rural farmers hub
moong,kharif,mulugu,2022,3977–4197 ₹/quintal,industry buyer,bharat agro mills
groundnut,kharif,kumuram bheem asifabad,2020,3634–3877 ₹/quintal,industry buyer,agro industries ltd
lentil,rabi,medchal–malkajgiri,2024,3499–4873 ₹/quintal,local market,krishi produce ltd
sapota,rabi,mancherial,2023,2876–3148 ₹/quintal,nearest mandi,telangana agri exports
pumpkin,zaid,nagarkurnool,2020,3134–4268 ₹/quintal,nearest mandi,krishi produce ltd
sunflower,rabi,mancherial,2023,3697–4130 ₹/quintal,industry buyer,mandi connect ltd
bajra,kharif,wanaparthy,2021,3008–4139 ₹/quintal,local market,green harvest corp
plum,rabi,peddapalli,2021,3646–4353 ₹/quintal,local market,mandi connect ltd
carrot,rabi,warangal rural,2020,4057–4326 ₹/quintal,local market,green harvest corp
guava,kharif,rangareddy,2022,3373–4230 ₹/quintal,industry buyer,bharat agro mills
wheat,rabi,warangal rural,2024,2159–3479 ₹/quintal,industry buyer,krishi produce ltd
gram,rabi,medak,2021,2172–2551 ₹/quintal,nearest mandi,krishi produce ltd
cinnamon,kharif,vikarabad,2022,2866–3197 ₹/quintal,industry buyer,bharat agro mills
barley,rabi,wanaparthy,2020,2884–3595 ₹/quintal,industry buyer,deccan agri trading
gram,rabi,medchal–malkajgiri,2020,4704–5707 ₹/quintal,local market,bharat agro mills
jowar,kharif,jayashankar bhupalpally,2021,3756–3988 ₹/quintal,industry buyer,deccan agri trading
cinnamon,kharif,medak,2020,3977–5129 ₹/quintal,industry buyer,green harvest corp
tea,kharif,jagtial,2021,2920–3497 ₹/quintal,local market,green harvest corp
mango,kharif,siddipet,2024,3967–5345 ₹/quintal,industry buyer,telangana agri exports
mustard,rabi,suryapet,2024,3655–4105 ₹/quintal,industry buyer,green harvest corp
soybean,kharif,vikarabad,2024,4052–4951 ₹/quintal,industry buyer,mandi connect ltd
garlic,rabi,warangal rural,2022,2971–3812 ₹/quintal,industry buyer,rural farmers hub
muskmelon,zaid,vikarabad,2023,3780–4385 ₹/quintal,industry buyer,deccan agri trading
peach,rabi,nizamabad,2022,2767–3635 ₹/quintal,nearest mandi,telangana agri exports
brinjal,rabi,siddipet,2020,3800–5290 ₹/quintal,industry buyer,mandi connect ltd
brinjal,kharif,mahabubnagar,2020,3211–3524 ₹/quintal,industry buyer,rural farmers hub
grapes,rabi,siddipet,2020,3091–3683 ₹/quintal,local market,green harvest corp
ridge gourd,kharif,yadadri bhuvanagiri,2021,2282–2555 ₹/quintal,local market,green harvest corp
plum,rabi,nagarkurnool,2020,2984–4148 ₹/quintal,nearest mandi,telangana agri exports
pomegranate,kharif,nagarkurnool,2020,2259–2515 ₹/quintal,industry buyer,deccan agri trading
gram,rabi,jagtial,2023,2691–3870 ₹/quintal,nearest mandi,rural farmers hub
bajra,kharif,siddipet,2020,2781–4044 ₹/quintal,local market,telangana agri exports
urad,kharif,jogulamba gadwal,2020,3474–4305 ₹/quintal,nearest mandi,mandi connect ltd
apple,rabi,kamareddy,2022,3045–4352 ₹/quintal,nearest mandi,telangana agri exports
mango,kharif,nizamabad,2022,2922–3538 ₹/quintal,industry buyer,krishi produce ltd
jute,kharif,mancherial,2022,3493–4121 ₹/quintal,nearest mandi,bharat agro mills
guava,kharif,mulugu,2024,2939–3816 ₹/quintal,industry buyer,rural farmers hub
pumpkin,zaid,kamareddy,2023,3467–3703 ₹/quintal,local market,bharat agro mills
garlic,rabi,nagarkurnool,2023,4186–5664 ₹/quintal,nearest mandi,mandi connect ltd
spices,rabi,mulugu,2022,3565–3962 ₹/quintal,industry buyer,agro industries ltd
bajra,kharif,medchal–malkajgiri,2021,3158–4008 ₹/quintal,industry buyer,krishi produce ltd
jowar,kharif,medchal–malkajgiri,2020,3239–3741 ₹/quintal,nearest mandi,telangana agri exports
ridge gourd,kharif,jayashankar bhupalpally,2022,2139–3610 ₹/quintal,industry buyer,agro industries ltd
cabbage,rabi,warangal urban,2020,3995–4281 ₹/quintal,nearest mandi,green harvest corp
peach,rabi,jogulamba gadwal,2021,2975–4326 ₹/quintal,local market,rural farmers hub
wheat,rabi,warangal rural,2024,2085–3505 ₹/quintal,local market,rural farmers hub
rice,rabi,mahabubnagar,2021,2031–2730 ₹/quintal,local market,mandi connect ltd
cucumber,zaid,mulugu,2021,3662–4941 ₹/quintal,local market,agro industries ltd
banana,rabi,bhadradri kothagudem,2023,4085–4960 ₹/quintal,industry buyer,green harvest corp
lemon,kharif,yadadri bhuvanagiri,2023,2983–4388 ₹/quintal,local market,bharat agro mills
peach,rabi,medchal–malkajgiri,2024,3577–4896 ₹/quintal,industry buyer,krishi produce ltd
bitter gourd,kharif,mahabubnagar,2021,4606–5575 ₹/quintal,nearest mandi,bharat agro mills
muskmelon,zaid,warangal rural,2022,3013–3262 ₹/quintal,industry buyer,krishi produce ltd
onion,rabi,warangal rural,2023,1563–2085 ₹/quintal,industry buyer,bharat agro mills
bottle gourd,kharif,peddapalli,2020,3075–4208 ₹/quintal,nearest mandi,deccan agri trading
spices,zaid,adilabad,2024,2708–2917 ₹/quintal,local market,deccan agri trading
okra,kharif,khammam,2021,4348–4692 ₹/quintal,local market,green harvest corp
arhar,kharif,jogulamba gadwal,2021,3278–3833 ₹/quintal,nearest mandi,mandi connect ltd
lemon,kharif,kamareddy,2023,2205–2420 ₹/quintal,industry buyer,green harvest corp
arhar,kharif,jangaon,2023,3625–4798 ₹/quintal,industry buyer,deccan agri trading
beetroot,rabi,nizamabad,2021,4020–5440 ₹/quintal,local market,mandi connect ltd
lentil,rabi,medchal–malkajgiri,2021,2234–3011 ₹/quintal,nearest mandi,agro industries ltd
potato,rabi,wanaparthy,2023,959–1248 ₹/quintal,nearest mandi,telangana agri exports
spices,rabi,medak,2021,2975–3992 ₹/quintal,local market,green harvest corp
rubber,kharif,jayashankar bhupalpally,2021,2829–3689 ₹/quintal,industry buyer,rural farmers hub
arhar,kharif,siddipet,2020,2965–4257 ₹/quintal,nearest mandi,deccan agri trading
mustard,rabi,mancherial,2020,3487–4565 ₹/quintal,nearest mandi,mandi connect ltd
soybean,kharif,wanaparthy,2020,4462–5093 ₹/quintal,nearest mandi,green harvest corp
carrot,rabi,medchal–malkajgiri,2022,3691–4195 ₹/quintal,nearest mandi,mandi connect ltd
cinnamon,kharif,bhadradri kothagudem,2020,3992–5061 ₹/quintal,industry buyer,green harvest corp
barley,rabi,jangaon,2024,4167–4511 ₹/quintal,nearest mandi,mandi connect ltd
coriander,rabi,rangareddy,2023,5309–6724 ₹/quintal,nearest mandi,mandi connect ltd
barley,rabi,hyderabad,2020,2514–3043 ₹/quintal,industry buyer,krishi produce ltd
jute,kharif,jayashankar bhupalpally,2020,3362–4183 ₹/quintal,local market,green harvest corp
ginger,kharif,suryapet,2021,2791–3199 ₹/quintal,local market,rural farmers hub
millets,kharif,medak,2023,2570–3554 ₹/quintal,industry buyer,rural farmers hub
beetroot,rabi,rangareddy,2022,2851–3932 ₹/quintal,industry buyer,rural farmers hub
guava,kharif,suryapet,2023,2714–3638 ₹/quintal,industry buyer,bharat agro mills
tomato,rabi,mancherial,2021,1236–2508 ₹/quintal,industry buyer,agro industries ltd
carrot,rabi,jayashankar bhupalpally,2024,4427–4628 ₹/quintal,nearest mandi,rural farmers hub
coriander,rabi,jogulamba gadwal,2020,2765–4003 ₹/quintal,nearest mandi,green harvest corp
groundnut,kharif,mahabubnagar,2020,4254–5729 ₹/quintal,local market,deccan agri trading
groundnut,kharif,mahabubabad,2020,4195–4740 ₹/quintal,nearest mandi,telangana agri exports
cinnamon,kharif,nagarkurnool,2024,3527–4295 ₹/quintal,nearest mandi,krishi produce ltd
peach,rabi,nagarkurnool,2022,3002–3300 ₹/quintal,nearest mandi,mandi connect ltd
